id,name,image,product,category,efficiency,lumen_output,CRI,temp,Macadam,act_power,power_fact,brand,beam_angle,system,reflector,color,pdf
0,Alhama,alhama.jpg,Alhama LED,LED Ceiling Mounted,,2000 lm - 5020 lm,80,4000K ,3,,,,,21W - 44W,Semi-opal,Grey,Alhama.pdf
1,Bladeline,bladeline.jpg,Bladeline LED,LED Ceiling Mounted,,5300 lm - 10600 lm,80,3000K,3,,,,,39W - 77W,Medium,Steel,Bladeline.pdf
2,Exilis ,exilis.jpg,Exilis LED,LED Ceiling Mounted,,550 lm - 2200 lm ,80,3000K - 4000K,3,,,,,5W - 20W,Opal,Grey | Black | White,
3,Linea Extrude,linea_extrude.jpg,Linea Extrude LED,LED Ceiling Mounted,,5180 lm,>80,3000K,3,,,,,50W,Opal,Grey | Black | White,Linea_Extrude.pdf
4,Linea Market Double,linea_market_double.jpg,Linea Market Double LED,LED Ceiling Mounted,,7980 lm,80,4000K,3,,,,,65W,Clear acrylic,Grey | Black | White,Linea_Market_Double.pdf
5,Panel ,panel.jpg,Panel LED,LED Ceiling Mounted,,3500 lm - 4400lm,80,3000K - 4000K,3,,,,,36W,"Opal, Prismatic ",White,Panel.pdf
6,Apto Mini,apto_mini.jpg,Apto Mini,LED Downlights,,1400 lm,80,3000K,3,,,,,13W,15&deg; - 30&deg;,Grey | Black | White,Apto_Mini.pdf
7,Apto,apto.jpg,Apto LED,LED Downlights,,1950 lm,80,3000K,3,,,,,18W,15&deg; - 30&deg;,Grey | Black | White,Apto.pdf
8,Auriga,auriga_IP44.jpg,Auriga LED,LED Downlights,,2171 lm - 2990 lm,>80,3000K - 4000K,3,,,,,21W - 31W,40&deg;,Grey | Black | White,Auriga_IP44.pdf
9,Cobra IP44,cobra_IP44.jpg,Cobra IP44 LED,LED Downlights,,730 lm,80,2700K - 3000K,3,,,,,8W,36&deg;,B.Alu | Black | White,Cobra_IP44.pdf
10,Cobra IP65,cobra_IP65.jpg,Cobra IP65 LED,LED Downlights,,730 lm,80,2700K - 3000K,3,,,,,8W,36&deg;,B.Alu | Black | White,
11,Cobra Square,cobra_square.jpg,Cobra Square LED,LED Downlights,,730 lm,80,2700k,3,,,,,8W,36&deg;,B.Alu | Black | White,
12,Cobra Square (Twin),cobra_square_double.jpg,Cobra Square (Twin) LED,LED Downlights,,2 x 730lm,80,2700K - 3000K,3,,,,,2 x 8W,36&deg;,B.Alu | Black | White,
13,Leila Mini,leila_mini.jpg,Leila Mini LED,LED Downlights,,1170 lm,80,3000K - 4000K,3,,,,,13W,Opal,Grey | Black | White,
14,Leila,leila.jpg,Leila LED,LED Downlights,,2340 lm,80,3000K - 4000K,3,,,,,25 W,Opal,Grey | Black | White,
15,Frame Single,frame.jpg,Frame Single LED,LED Downlights,,3817 lm ,>80,3000K - 4000K,3,,,,,29 W,20&deg; - 30&deg,Grey | Black | White,
16,Frame Double,frame_double.jpg,Frame Double LED,LED Downlights,,2 x 3817 lm,>80,3000K - 4000K,3,,,,,2 x 29 W,20&deg; - 30&deg,Grey | Black | White,
17,Suri Recessed,suri_recessed.jpg,Suri Recessed LED,LED Downlights,,3000 lm,>80,3000K - 4000K,3,,,,,32 W,18&deg; - 30&deg,White | Black | White & Black,
