id,name,image,product,category,lumen_output,CRI,temp,Macadam,system,reflector,color,pdf
0,Cylinder,cylinder.jpg,Cylinder,LED Spotlights,2350 - 3200 lm,>90 ,3000K,3,20 W - 28 W,15&deg; - 28&deg; - 34&deg;,Black | White,Cylinder
1,Lale,lale_mini_food.jpg,Zebra Mini | Arctic White | Fresh Food | Meat,LED Spotlights,2351 - 4650 lm,>80 - >90,3000K - 4000K,3,31 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,Lale
2,Mato,mato.jpg,Mato,LED Spotlights,2800 lm,>80,3000K - 4000K,3,28 W,14&deg; 24&deg;,Black | White,Mato
3,Ray Mini,ray_mini.jpg,Ray Mini | Arctic White,LED Spotlights,2155 lm - 3200 lm,>80 - >90,3000K - 4000K,3,23 W,20&deg; - 40&deg;,Black | White,Ray_Mini
4,Suri,suri.jpg,Suri,LED Spotlights,4000 lm ,>80,3000K - 4000K,3,36 W,18&deg; - 30&deg,Grey | Black | White,Suri
5,Tube,tube.jpg,Tube | Arctic White ,LED Spotlights,2360 lm - 2772 lm ,>80 - >90,3000K - 4000K,3,26 W,20&deg; - 30&deg,Grey | Black | White,Tube
6,Apto Mini,apto_mini.jpg,Apto Mini,LED Downlights,1400 lm,80,3000K,3,13W,15&deg; - 30&deg;,Grey | Black | White,Apto_Mini
7,Apto,apto.jpg,Apto,LED Downlights,1950 lm,80,3000K,3,18W,15&deg; - 30&deg;,Grey | Black | White,Apto
8,Auriga,auriga_IP44.jpg,Auriga,LED Downlights,2171 lm - 2990 lm,>80,3000K - 4000K,3,21W - 31W,40&deg;,Grey | Black | White,Auriga
9,Cobra IP44,cobra_IP44.jpg,Cobra IP44,LED Downlights,730 lm,80,2700K - 3000K,3,8W,36&deg;,B.Alu | Black | White,Cobra_IP44
10,Cobra IP65,cobra_IP65.jpg,Cobra IP65,LED Downlights,730 lm,80,2700K - 3000K,3,8W,36&deg;,B.Alu | Black | White,Cobra_IP65
11,Cobra Square,cobra_square.jpg,Cobra Square,LED Downlights,730 lm,80,2700k,3,8W,36&deg;,B.Alu | Black | White,Cobra_Square
12,Cobra Square (Twin),cobra_square_double.jpg,Cobra Square (Twin),LED Downlights,2 x 730lm,80,2700K - 3000K,3,2 x 8W,36&deg;,B.Alu | Black | White,Cobra_Square
13,Leila Mini,leila_mini.jpg,Leila Mini,LED Downlights,1170 lm,80,3000K - 4000K,3,13W,Opal,Grey | Black | White,Leila_Mini
14,Leila,leila.jpg,Leila,LED Downlights,2340 lm,80,3000K - 4000K,3,25 W,Opal,Grey | Black | White,Leila
15,Frame Single,frame.jpg,Frame Single,LED Downlights,3817 lm ,>80,3000K - 4000K,3,29 W,20&deg; - 30&deg,Grey | Black | White,Frame_Single
16,Frame Double,frame_double.jpg,Frame Double,LED Downlights,2 x 3817 lm,>80,3000K - 4000K,3,2 x 29 W,20&deg; - 30&deg,Grey | Black | White,Frame_Double
17,Suri Recessed,suri_recessed.jpg,Suri Recessed,LED Downlights,3000 lm,>80,3000K - 4000K,3,32 W,18&deg; - 30&deg,White | Black | White & Black,Suri_Recessed
18,Torres Mini,torres_mini.jpg,Torres Mini ,LED Downlights,2300 lm,80,3000K - 4000K,3,22 W,20&deg; - 30&deg,Grey | Black | White,Torres_Mini
19,Torres Mini Fixed,torres_mini_fixed.jpg,Torres Mini Fixed,LED Downlights,1810 lm,80,3000K - 4000K,3,19 W,24&deg;,Grey | Black | White,Torres_Mini_Fixed
20,Trimo Micro,trimo_micro.jpg,Trimo Micro,LED Downlights,1581 lm,80,3000K,3,13W,30&deg;,Grey | Black | White,Trimo_Micro
21,Trimo Mini,trimo_mini.jpg,Trimo Mini,LED Downlights,2625 lm,80,3000K,3,22 W,24&deg;,Grey | Black | White,Trimo_Mini
22,Trimo,trimo.jpg,Trimo,LED Downlights,3817 lm ,80,3000K,3,29 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,Trimo
23,Zebra Mini,zebra_mini.jpg,Zebra Mini | Arctic White | Fresh Food | Meat,LED Downlights,2100 - 4100 lm,>80 - >90,3000K - 4000K,3,25 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,Zebra_Mini
24,Zebra,zebra.jpg,Zebra Mini | Arctic White | Fresh Food | Meat,LED Downlights,2350 - 4650 lm,>80 - >90,3000K - 4000K,3,31 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,Zebra
25,Alhama,alhama.jpg,Alhama ,LED Ceiling Mounted,2000 lm - 5020 lm,80,4000K ,3,21W - 44W,Semi-opal,Grey,Alhama
26,Bladeline,bladeline.jpg,Bladeline,LED Ceiling Mounted,5300 lm - 10600 lm,80,3000K,3,39W - 77W,Medium,Steel,Bladeline
27,Exilis ,exilis.jpg,Exilis,LED Ceiling Mounted,550 lm - 2200 lm ,80,3000K - 4000K,3,5W - 20W,Opal,Grey | Black | White,Exilis 
28,Linea Extrude,linea_extrude.jpg,Linea Extrude,LED Ceiling Mounted,5180 lm,>80,3000K,3,50W,Opal,Grey | Black | White,Linea_Extrude
29,Linea Market Double,linea_market_double.jpg,Linea Market Double,LED Ceiling Mounted,7980 lm,80,4000K,3,65W,Clear acrylic,Grey | Black | White,Linea_Market_Double
30,Panel ,panel.jpg,Panel,LED Ceiling Mounted,3500 lm - 4400lm,80,3000K - 4000K,3,36W,"Opal, Prismatic ",White,Panel 
31,Bladeline,bladeline.jpg,Bladeline,LED Suspended ,5300 lm - 10600 lm,80,3000K,3,39W - 77W,Medium,Steel,Bladeline
32,Linea Extrude,linea_extrude.jpg,Linea Extrude,LED Suspended ,5180 lm,>80,3000K,3,50W,Opal,Grey | Black | White,Linea_Extrude
33,Panel,panel.jpg,Panel,LED Suspended ,3500 lm - 4400lm,80,3000K - 4000K,3,36W,"Opal, Prismatic ",White,Panel
34,Ambi,ambi.jpg,Ambi,LED Suspended ,5550 lm ,80,3000K - 4000K,3,60 W,Opal,Grey | White,Ambi
35,Channel,channel.jpg,Channel,LED Suspended ,9158 lm,80,3000K - 4000K,3,87 W,Opal,Grey | White,Channel
36,Hi Bay 30W,high_bay_30W.jpg,Hi Bay 30W,LED Suspended ,3000 lm,80,3000K,3,30 W,45&deg;,Black & Alu,High_Bay_30W
37,Hi Bay 50W,high_bay_50W.jpg,Hi Bay 50W,LED Suspended ,5000 lm,80,3000K,3,50 W,30&deg;,Grey,High_Bay_50W
38,Hi Bay 120W,high_bay_120W.jpg,Hi Bay 120W,LED Suspended ,11200 lm,75,4000K,3,120 W,65&deg;,Grey,High_Bay_120W
39,Titan,titan.jpg,Titan,LED Suspended ,3300 lm - 4800 lm ,80,4000K,3,35 W - 45 W,29&deg;,Grey,Titan
40,Eris,eris.jpg,Eris,LED Wall Mounted ,3800 lm,80,3000K,3,35 W,30&deg;,Grey | Black | White,Eris
41,ETA,eta.jpg,ETA,LED Wall Mounted ,1120 lm ,80,3000K,3,18W,,White| Grey & Black,ETA
